Column1;Column2;Column3
Name;Date;Location
VanMuistotMammoet;24OKTOBER;oostkapelle
Okijk,diefoto`svanWO-lhier;1OKTT/M11NOV;zierikzee
Kinderworkshopvanwilgtotmand;24OKTOBER;oostkapelle
Zoldergeheimen;22T/M28OKTMA;oostkapelle
MosselpartyGoes;24OKTOBER;goes
RommelmarktbijVanderLinde;3T/M31OKTWO,ZA;ouddorp
Veerdiensten/RondvaartenWatertaxi;1APRT/M31OKT;vlissingen
FotografiewedstrijdHulstFoto;6SEPT/M12NOV;hulst
AlpacaenFalabellaRanch;15APRT/M31OKTWO,ZA;kerkwerve
Tentoonstelling65geschenken'Elkeschenkingheefteeneigenverhaal';1APRT/M31OKT;ouwerkerk
IndonesischeKrachtsport;21FEBT/M18DECWO;kloetinge
LezingZeeuwseplaatsnamen;24OKTOBER;sluis
DeTijdreis:metdeklasnaar1920;;burgh-haamstede
Okijk,diefoto`svanWO-lhier-Haamstede;1OKTT/M11NOV;burgh-haamstede
OntdekOostkapellemeteengids;24OKTOBER;oostkapelle
ZeeuwsMuseumxDasLebenAmHaverkamp;17FEBT/M5MEI;middelburg
Herfstin'tPark|GroedePodium;14T/M24OKT;groede
lezing:TijlUilenspiegelendeGeuzendoorJanHutsebaut;24OKTOBER;ijzendijke
TentoonstellingplasticsoupbijAseal;18SEPT/M31OKT;stellendam
Legospeeldaginbibliotheek;24OKTOBER;middelharnis
HerfstrittenmetdeRTM-tram;24T/M25OKT;ouddorp
Grevelingenweek;19T/M28OKT;goeree-overflakkee
JEMAINTIENDRAIvrijheidvolgensJoepvanLieshout;7OKTT/M16NOVMA,DI,WO,DO,VR;middelburg
Kinderfilmfestival'CinekidonTour'bijdeHoutenKaap;1T/M31OKT;ouddorp
DitisZeeland;13MEIT/M14APR;middelburg
Grevelingenweek;20T/M28OKT;grevelingen
Landschappen-ZeeuwsMuseum;18NOVT/M17FEB;middelburg
Buitengewoon&Markant;1DECT/M30DEC;goes
Natuurrondvaart;23T/M25OKT;burghsluis
VechtentegendeBierkaai;14JULT/M11NOV;hulst
WeekmarktStavenisse;VANAF1JANUARIWO;stavenisse
Dadodans-Papier3+;VANAF29AUGUSTUSWO,DO,VR;middelburg
RondleidingNehalenniaTempelteColijsplaat;27JULT/M31DEC;colijnsplaat
'OmniaTemporaria'eeninstallatieovertijdentijdelijkheid;6APRT/M4NOVDI,WO,DO,VR,ZA;zierikzee
BevelandseSkylines-KleurrijkedorpsgezichtenvanWimPhilipse;26APRT/M26OKT;goes
'tOuddurpsespringfeessie;23T/M24OKT;ouddorp
Expositie'WalkofFame'DikkeToren;13OKTT/M3NOV;zierikzee
RondleidingVerrassendColijnsplaat;27JULT/M31DEC;colijnsplaat
Schooltijd-waterstrijd;7APRT/M27OKTWO,DO,VR,ZA;burgh-haamstede
MonumentenwandelingBurgh-Haamstede;11JULT/M27OKT;burgh-haamstede
WeekmarktKloosterzande;;kloosterzande
"""EvenementRondvaartJanvanGent""";1JANT/M31DEC;breskens
PonyrijdenopOuddorpDuin;24OKTOBER;ouddorp
WisselenindeMeestoof;1SEPT/M3NOV;sint-annaland
ZeeuwsemeestersuitdeGoudenEeuw;1SEPT/M31DEC;zierikzee
OpzoeknaarDeGroteVijf;24OKTOBER;zonnemaire
Foto‘Goereesevissersmetoorringen’;20T/M27OKTZA;goedereede
'Hetwaterblijftkomen.Vechtentegendevloedvanmorgen';1APRT/M31OKT;ouwerkerk
